line_id,line_name,line_color,is_night_service,created_at,updated_at
1,Bakerloo,#B36305,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
2,Central,#E32017,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
3,Circle,#FFD300,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
4,DLR,#00A4A7,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
5,District,#00782A,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
6,Hammersmith & City,#F3A9BB,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
7,Jubilee,#A0A5A9,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
8,London Overground,#EE7C0E,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
9,Metropolitan,#9B0056,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
10,Northern,#000000,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
11,Piccadilly,#003688,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
12,TfL Rail,#Gray,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
13,Victoria,#0098D4,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
14,Waterloo & City,#95CDBA,f,2026-05-29 15:27:23.255907,2026-05-29 15:27:23.255907
